STUSAB,GEOID,GEOCODE,state,county,tract,total_population_2020,incarcerated_2020
TX,1400000US48027023202,48027023202,48,27,023202,4915,0
TX,1400000US48027023203,48027023203,48,27,023203,2607,0
TX,1400000US48027023204,48027023204,48,27,023204,3731,103
TX,1400000US48027023301,48027023301,48,27,023301,5266,0
TX,1400000US48027023302,48027023302,48,27,023302,4029,0
TX,1400000US48027023402,48027023402,48,27,023402,4990,0
TX,1400000US48027023404,48027023404,48,27,023404,4376,0
TX,1400000US48027023405,48027023405,48,27,023405,3225,0
TX,1400000US48027023406,48027023406,48,27,023406,3978,0
TX,1400000US48027023500,48027023500,48,27,023500,2149,0
TX,1400000US48027980001,48027980001,48,27,980001,346,0
TX,1400000US48027980002,48027980002,48,27,980002,0,0
TX,1400000US48027980003,48027980003,48,27,980003,1,0
TX,1400000US48029110100,48029110100,48,29,110100,3812,431
TX,1400000US48029110300,48029110300,48,29,110300,2401,0
TX,1400000US48029110500,48029110500,48,29,110500,2369,0
TX,1400000US48029110600,48029110600,48,29,110600,7284,3119
TX,1400000US48029110700,48029110700,48,29,110700,1210,0
TX,1400000US48029111000,48029111000,48,29,111000,2356,0
TX,1400000US48029111100,48029111100,48,29,111100,4099,0
TX,1400000US48029120100,48029120100,48,29,120100,7464,0
TX,1400000US48029120301,48029120301,48,29,120301,2989,0
TX,1400000US48029120302,48029120302,48,29,120302,4371,0
TX,1400000US48029120401,48029120401,48,29,120401,2595,0
TX,1400000US48029120402,48029120402,48,29,120402,3365,0
TX,1400000US48029120502,48029120502,48,29,120502,5395,0
TX,1400000US48029120503,48029120503,48,29,120503,3351,0
TX,1400000US48029120504,48029120504,48,29,120504,4876,0
TX,1400000US48029120601,48029120601,48,29,120601,2719,0
TX,1400000US48029120602,48029120602,48,29,120602,3927,0
TX,1400000US48029120701,48029120701,48,29,120701,5622,0
TX,1400000US48029120702,48029120702,48,29,120702,4699,0
TX,1400000US48029120800,48029120800,48,29,120800,7074,0
TX,1400000US48029120901,48029120901,48,29,120901,2079,0
TX,1400000US48029120902,48029120902,48,29,120902,6928,0
TX,1400000US48029121000,48029121000,48,29,121000,6926,0
TX,1400000US48029121110,48029121110,48,29,121110,5175,0
TX,1400000US48029121111,48029121111,48,29,121111,6739,0
TX,1400000US48029121112,48029121112,48,29,121112,3995,0
TX,1400000US48029121115,48029121115,48,29,121115,5100,0
TX,1400000US48029121116,48029121116,48,29,121116,4845,0
TX,1400000US48029121117,48029121117,48,29,121117,4482,0
TX,1400000US48029121118,48029121118,48,29,121118,5688,0
TX,1400000US48029121119,48029121119,48,29,121119,5325,0
TX,1400000US48029121120,48029121120,48,29,121120,5039,0
TX,1400000US48029121121,48029121121,48,29,121121,2843,0
TX,1400000US48029121122,48029121122,48,29,121122,5165,0
TX,1400000US48029121123,48029121123,48,29,121123,4528,0
TX,1400000US48029121124,48029121124,48,29,121124,2664,0
TX,1400000US48029121203,48029121203,48,29,121203,4769,0
TX,1400000US48029121204,48029121204,48,29,121204,8569,0
TX,1400000US48029121205,48029121205,48,29,121205,3603,0
TX,1400000US48029121206,48029121206,48,29,121206,7226,0
TX,1400000US48029121300,48029121300,48,29,121300,6483,8
TX,1400000US48029121402,48029121402,48,29,121402,9534,0
TX,1400000US48029121403,48029121403,48,29,121403,5419,0
TX,1400000US48029121404,48029121404,48,29,121404,5145,0
TX,1400000US48029121501,48029121501,48,29,121501,9828,0
TX,1400000US48029121504,48029121504,48,29,121504,8233,0
TX,1400000US48029121505,48029121505,48,29,121505,5372,0
TX,1400000US48029121506,48029121506,48,29,121506,5795,0
TX,1400000US48029121507,48029121507,48,29,121507,5413,0
TX,1400000US48029121508,48029121508,48,29,121508,5312,0
TX,1400000US48029121601,48029121601,48,29,121601,4694,0
TX,1400000US48029121604,48029121604,48,29,121604,9768,0
TX,1400000US48029121605,48029121605,48,29,121605,2161,0
TX,1400000US48029121606,48029121606,48,29,121606,5210,0
TX,1400000US48029121701,48029121701,48,29,121701,3885,0
TX,1400000US48029121702,48029121702,48,29,121702,7093,0
TX,1400000US48029121802,48029121802,48,29,121802,10663,0
TX,1400000US48029121803,48029121803,48,29,121803,4776,0
TX,1400000US48029121804,48029121804,48,29,121804,6844,0
TX,1400000US48029121808,48029121808,48,29,121808,3132,0
TX,1400000US48029121809,48029121809,48,29,121809,4942,0
TX,1400000US48029121810,48029121810,48,29,121810,4322,0
TX,1400000US48029121811,48029121811,48,29,121811,5543,0
TX,1400000US48029121812,48029121812,48,29,121812,6136,0
TX,1400000US48029121813,48029121813,48,29,121813,1745,0
TX,1400000US48029121903,48029121903,48,29,121903,6040,0
TX,1400000US48029121904,48029121904,48,29,121904,3925,0
TX,1400000US48029121905,48029121905,48,29,121905,7517,0
TX,1400000US48029121906,48029121906,48,29,121906,7183,0
TX,1400000US48029121908,48029121908,48,29,121908,3410,0
TX,1400000US48029121909,48029121909,48,29,121909,8859,0
TX,1400000US48029121910,48029121910,48,29,121910,8817,0
TX,1400000US48029121911,48029121911,48,29,121911,9375,0
TX,1400000US48029121912,48029121912,48,29,121912,12296,0
TX,1400000US48029130200,48029130200,48,29,130200,1588,0
TX,1400000US48029130300,48029130300,48,29,130300,2945,0
TX,1400000US48029130401,48029130401,48,29,130401,3725,0
TX,1400000US48029130402,48029130402,48,29,130402,3879,64
TX,1400000US48029130500,48029130500,48,29,130500,4202,0
TX,1400000US48029130600,48029130600,48,29,130600,4585,0
TX,1400000US48029130700,48029130700,48,29,130700,2342,0
TX,1400000US48029130800,48029130800,48,29,130800,5220,0
TX,1400000US48029130900,48029130900,48,29,130900,5456,0
TX,1400000US48029131000,48029131000,48,29,131000,5599,0
TX,1400000US48029131100,48029131100,48,29,131100,2500,0
TX,1400000US48029131200,48029131200,48,29,131200,3298,0
TX,1400000US48029131300,48029131300,48,29,131300,5678,0
TX,1400000US48029131401,48029131401,48,29,131401,12055,0
TX,1400000US48029131402,48029131402,48,29,131402,2964,0
TX,1400000US48029131503,48029131503,48,29,131503,3169,0
TX,1400000US48029131504,48029131504,48,29,131504,4213,0
TX,1400000US48029131505,48029131505,48,29,131505,5179,0
TX,1400000US48029131506,48029131506,48,29,131506,5953,0
TX,1400000US48029131507,48029131507,48,29,131507,5998,0
TX,1400000US48029131601,48029131601,48,29,131601,8623,0
TX,1400000US48029131606,48029131606,48,29,131606,8086,0
TX,1400000US48029131608,48029131608,48,29,131608,5956,0
TX,1400000US48029131609,48029131609,48,29,131609,8531,0
TX,1400000US48029131610,48029131610,48,29,131610,5469,0
TX,1400000US48029131612,48029131612,48,29,131612,2306,0
TX,1400000US48029131614,48029131614,48,29,131614,5012,0
TX,1400000US48029131615,48029131615,48,29,131615,12439,0
TX,1400000US48029131616,48029131616,48,29,131616,7517,0
TX,1400000US48029131700,48029131700,48,29,131700,1282,0
TX,1400000US48029131801,48029131801,48,29,131801,2732,0
TX,1400000US48029131802,48029131802,48,29,131802,7232,0
TX,1400000US48029140100,48029140100,48,29,140100,1324,0
TX,1400000US48029140200,48029140200,48,29,140200,2405,0
TX,1400000US48029140300,48029140300,48,29,140300,2835,0
TX,1400000US48029140400,48029140400,48,29,140400,3380,0
TX,1400000US48029140500,48029140500,48,29,140500,3682,0
TX,1400000US48029140600,48029140600,48,29,140600,2526,0
TX,1400000US48029140700,48029140700,48,29,140700,4571,0
TX,1400000US48029140800,48029140800,48,29,140800,4886,0
TX,1400000US48029140900,48029140900,48,29,140900,1916,0
TX,1400000US48029141000,48029141000,48,29,141000,3344,0
TX,1400000US48029141101,48029141101,48,29,141101,4084,0
TX,1400000US48029141102,48029141102,48,29,141102,3612,0
TX,1400000US48029141200,48029141200,48,29,141200,6685,0
TX,1400000US48029141300,48029141300,48,29,141300,6678,0
TX,1400000US48029141402,48029141402,48,29,141402,6236,0
TX,1400000US48029141403,48029141403,48,29,141403,4773,0
TX,1400000US48029141404,48029141404,48,29,141404,4929,0
TX,1400000US48029141600,48029141600,48,29,141600,4525,0
TX,1400000US48029141700,48029141700,48,29,141700,6440,0
TX,1400000US48029141800,48029141800,48,29,141800,4924,0
TX,1400000US48029141900,48029141900,48,29,141900,6234,0
TX,1400000US48029150100,48029150100,48,29,150100,5016,0
TX,1400000US48029150300,48029150300,48,29,150300,3965,0
TX,1400000US48029150400,48029150400,48,29,150400,3814,0
TX,1400000US48029150501,48029150501,48,29,150501,4016,0
TX,1400000US48029150502,48029150502,48,29,150502,3734,0
TX,1400000US48029150600,48029150600,48,29,150600,4039,0
TX,1400000US48029150700,48029150700,48,29,150700,5601,0
TX,1400000US48029150800,48029150800,48,29,150800,3227,0
TX,1400000US48029150900,48029150900,48,29,150900,5933,0
TX,1400000US48029151000,48029151000,48,29,151000,3204,0
TX,1400000US48029151100,48029151100,48,29,151100,6450,0
TX,1400000US48029151200,48029151200,48,29,151200,10797,0
TX,1400000US48029151301,48029151301,48,29,151301,5599,0
TX,1400000US48029151302,48029151302,48,29,151302,3275,0
TX,1400000US48029151400,48029151400,48,29,151400,4487,0
TX,1400000US48029151500,48029151500,48,29,151500,2411,0
TX,1400000US48029151600,48029151600,48,29,151600,7358,0
TX,1400000US48029151700,48029151700,48,29,151700,7173,0
TX,1400000US48029151900,48029151900,48,29,151900,8156,0
TX,1400000US48029152000,48029152000,48,29,152000,4314,219
TX,1400000US48029152100,48029152100,48,29,152100,6829,0
TX,1400000US48029152201,48029152201,48,29,152201,9868,0
TX,1400000US48029152202,48029152202,48,29,152202,5964,0
TX,1400000US48029160100,48029160100,48,29,160100,6217,0
TX,1400000US48029160200,48029160200,48,29,160200,2490,0
TX,1400000US48029160300,48029160300,48,29,160300,4928,0
TX,1400000US48029160400,48029160400,48,29,160400,4682,0
TX,1400000US48029160501,48029160501,48,29,160501,3936,0
TX,1400000US48029160502,48029160502,48,29,160502,3950,0
TX,1400000US48029160600,48029160600,48,29,160600,4440,0
TX,1400000US48029160701,48029160701,48,29,160701,3187,0
TX,1400000US48029160702,48029160702,48,29,160702,4972,0
TX,1400000US48029160901,48029160901,48,29,160901,2951,0
TX,1400000US48029160902,48029160902,48,29,160902,4144,0
TX,1400000US48029161000,48029161000,48,29,161000,3474,0
TX,1400000US48029161100,48029161100,48,29,161100,8449,0
TX,1400000US48029161200,48029161200,48,29,161200,3934,0
TX,1400000US48029161302,48029161302,48,29,161302,5409,0
TX,1400000US48029161303,48029161303,48,29,161303,4167,0
TX,1400000US48029161304,48029161304,48,29,161304,4738,0
TX,1400000US48029161400,48029161400,48,29,161400,9755,0
TX,1400000US48029161501,48029161501,48,29,161501,7717,0
TX,1400000US48029161503,48029161503,48,29,161503,5515,0
TX,1400000US48029161504,48029161504,48,29,161504,4724,0
TX,1400000US48029161600,48029161600,48,29,161600,4809,0
TX,1400000US48029161801,48029161801,48,29,161801,3895,0
TX,1400000US48029161802,48029161802,48,29,161802,9710,0
TX,1400000US48029161901,48029161901,48,29,161901,1247,0
TX,1400000US48029161902,48029161902,48,29,161902,15735,2069
TX,1400000US48029162001,48029162001,48,29,162001,2529,0
TX,1400000US48029162003,48029162003,48,29,162003,5991,0
TX,1400000US48029162004,48029162004,48,29,162004,4477,0
TX,1400000US48029170101,48029170101,48,29,170101,3426,0
TX,1400000US48029170102,48029170102,48,29,170102,3316,0
TX,1400000US48029170200,48029170200,48,29,170200,4757,0
TX,1400000US48029170300,48029170300,48,29,170300,5546,0
TX,1400000US48029170401,48029170401,48,29,170401,4324,0
TX,1400000US48029170402,48029170402,48,29,170402,4639,0
TX,1400000US48029170500,48029170500,48,29,170500,4099,0
TX,1400000US48029170600,48029170600,48,29,170600,4189,0
TX,1400000US48029170700,48029170700,48,29,170700,4460,0
TX,1400000US48029170800,48029170800,48,29,170800,1521,0
TX,1400000US48029170900,48029170900,48,29,170900,4249,0
TX,1400000US48029171000,48029171000,48,29,171000,4890,0
TX,1400000US48029171100,48029171100,48,29,171100,3438,0
TX,1400000US48029171200,48029171200,48,29,171200,3949,0
TX,1400000US48029171301,48029171301,48,29,171301,2659,0
TX,1400000US48029171302,48029171302,48,29,171302,3841,0
TX,1400000US48029171401,48029171401,48,29,171401,4319,0
TX,1400000US48029171402,48029171402,48,29,171402,5556,0
TX,1400000US48029171501,48029171501,48,29,171501,2563,0
TX,1400000US48029171502,48029171502,48,29,171502,4914,0
TX,1400000US48029171601,48029171601,48,29,171601,4284,0
TX,1400000US48029171602,48029171602,48,29,171602,4456,0
TX,1400000US48029171700,48029171700,48,29,171700,8091,0
TX,1400000US48029171801,48029171801,48,29,171801,5301,0
TX,1400000US48029171802,48029171802,48,29,171802,6092,0
TX,1400000US48029171903,48029171903,48,29,171903,6750,0
TX,1400000US48029171912,48029171912,48,29,171912,6855,0
TX,1400000US48029171913,48029171913,48,29,171913,5184,0
TX,1400000US48029171914,48029171914,48,29,171914,5236,0
TX,1400000US48029171915,48029171915,48,29,171915,2095,0
TX,1400000US48029171916,48029171916,48,29,171916,10592,0
TX,1400000US48029171917,48029171917,48,29,171917,8501,0
TX,1400000US48029171918,48029171918,48,29,171918,7898,0
TX,1400000US48029171919,48029171919,48,29,171919,6377,0
TX,1400000US48029171920,48029171920,48,29,171920,9214,0
TX,1400000US48029171921,48029171921,48,29,171921,5691,0
TX,1400000US48029171922,48029171922,48,29,171922,5814,0
TX,1400000US48029171923,48029171923,48,29,171923,9414,0
TX,1400000US48029171924,48029171924,48,29,171924,7460,0
TX,1400000US48029171926,48029171926,48,29,171926,3243,0
TX,1400000US48029171927,48029171927,48,29,171927,12053,0
TX,1400000US48029171928,48029171928,48,29,171928,5480,0
TX,1400000US48029171929,48029171929,48,29,171929,3785,0
TX,1400000US48029172002,48029172002,48,29,172002,30199,0
TX,1400000US48029172003,48029172003,48,29,172003,6416,0
TX,1400000US48029172004,48029172004,48,29,172004,10601,0
TX,1400000US48029172005,48029172005,48,29,172005,12319,0
TX,1400000US48029172006,48029172006,48,29,172006,15271,0
TX,1400000US48029172008,48029172008,48,29,172008,5744,0
TX,1400000US48029172009,48029172009,48,29,172009,10242,0
TX,1400000US48029180101,48029180101,48,29,180101,4600,0
TX,1400000US48029180102,48029180102,48,29,180102,1886,0
TX,1400000US48029180201,48029180201,48,29,180201,4858,0
TX,1400000US48029180202,48029180202,48,29,180202,5287,0
TX,1400000US48029180300,48029180300,48,29,180300,4525,0
TX,1400000US48029180400,48029180400,48,29,180400,4262,0
TX,1400000US48029180501,48029180501,48,29,180501,4831,0
TX,1400000US48029180503,48029180503,48,29,180503,4356,0
TX,1400000US48029180504,48029180504,48,29,180504,4245,0
TX,1400000US48029180602,48029180602,48,29,180602,2917,0
TX,1400000US48029180603,48029180603,48,29,180603,2138,0
TX,1400000US48029180604,48029180604,48,29,180604,5617,0
TX,1400000US48029180701,48029180701,48,29,180701,4291,0
TX,1400000US48029180702,48029180702,48,29,180702,6786,0
TX,1400000US48029180800,48029180800,48,29,180800,2531,0
TX,1400000US48029180901,48029180901,48,29,180901,5204,0
TX,1400000US48029180902,48029180902,48,29,180902,7475,0
TX,1400000US48029181001,48029181001,48,29,181001,3252,0
TX,1400000US48029181003,48029181003,48,29,181003,6997,0
TX,1400000US48029181004,48029181004,48,29,181004,5354,0
TX,1400000US48029181005,48029181005,48,29,181005,4251,0
TX,1400000US48029181100,48029181100,48,29,181100,5818,0
TX,1400000US48029181200,48029181200,48,29,181200,4844,0
TX,1400000US48029181301,48029181301,48,29,181301,4290,0
TX,1400000US48029181302,48029181302,48,29,181302,6263,0
TX,1400000US48029181303,48029181303,48,29,181303,3764,0
TX,1400000US48029181402,48029181402,48,29,181402,2894,0
TX,1400000US48029181403,48029181403,48,29,181403,6182,0
TX,1400000US48029181404,48029181404,48,29,181404,5223,0
TX,1400000US48029181503,48029181503,48,29,181503,8457,0
TX,1400000US48029181504,48029181504,48,29,181504,6612,0
TX,1400000US48029181505,48029181505,48,29,181505,4388,0
TX,1400000US48029181506,48029181506,48,29,181506,3992,0
TX,1400000US48029181601,48029181601,48,29,181601,3189,0
