PANOLA,22491,22600,9326,2057,68,11451,4.533787069,trump,109
PARKER,148222,149053,62045,13017,1066,76128,4.766459246,trump,831
PARMER,9869,9913,2135,488,27,2650,4.375,trump,44
PECOS,15193,13543,3215,1382,71,4668,2.32633864,trump,-1650
POLK,50123,47684,18573,5387,226,24186,3.44774457,trump,-2439
POTTER,118525,114824,22820,9921,596,33337,2.300171354,trump,-3701
PRESIDIO,6131,6143,721,1463,33,2217,0.492822967,biden,12
RAINS,12164,12228,5155,842,56,6053,6.122327791,trump,64
RANDALL,140753,141518,50796,12802,1076,64674,3.967817529,trump,765
REAGAN,3385,3410,942,172,10,1124,5.476744186,trump,25
REAL,2758,2772,1643,320,19,1982,5.134375,trump,14
RED RIVER,11587,11742,4517,1246,43,5806,3.625200642,trump,155
REEVES,14748,14832,2254,1395,40,3689,1.615770609,trump,84
REFUGIO,6741,6782,2210,1108,48,3366,1.994584838,trump,41
ROBERTS,827,829,529,17,4,550,31.11764706,trump,2
ROBERTSON,16757,16863,5646,2374,79,8099,2.378264532,trump,106
ROCKWALL,107819,108249,36726,16412,753,53891,2.237752864,trump,430
RUNNELS,9900,9987,3807,552,50,4409,6.89673913,trump,87
RUSK,52214,51027,16534,4629,214,21377,3.571829769,trump,-1187
SABINE,9894,9953,4784,669,38,5491,7.150971599,trump,59
SAN AUGUSTINE,7918,7953,3007,980,15,4002,3.068367347,trump,35
SAN JACINTO,27402,27576,10161,2337,142,12640,4.3478819,trump,174
SAN PATRICIO,68755,69188,16516,8988,387,25891,1.837561193,trump,433
SAN SABA,5730,5197,2308,287,7,2602,8.041811847,trump,-533
SCHLEICHER,2451,2461,940,211,8,1159,4.454976303,trump,10
SCURRY,16932,16119,4983,818,69,5870,6.091687042,trump,-813
SHACKELFORD,3105,3117,1484,130,14,1628,11.41538462,trump,12
SHELBY,24022,24190,7975,2068,44,10087,3.856382979,trump,168
SHERMAN,2782,2795,886,91,15,992,9.736263736,trump,13
SMITH,233479,236147,69080,29615,269,98964,2.332601722,trump,2668
SOMERVELL,9205,9250,4105,768,74,4947,5.345052083,trump,45
STARR,65920,66045,8247,9123,155,17525,0.903978954,biden,125
STEPHENS,9101,8610,3385,397,18,3800,8.526448363,trump,-491
STERLING,1372,1380,584,51,4,639,11.45098039,trump,8
STONEWALL,1245,1250,615,116,5,736,5.301724138,trump,5
SUTTON,3372,3396,1222,322,13,1557,3.795031056,trump,24
SWISHER,6971,6449,1845,478,32,2355,3.859832636,trump,-522
TARRANT,2110640,2120636,409741,411567,416,821724,0.995563298,biden,9996
TAYLOR,143208,144870,39547,14588,1000,55135,2.710926789,trump,1662
TERRELL,760,763,334,119,5,458,2.806722689,trump,3
TERRY,11831,11816,2812,757,43,3612,3.714663144,trump,-15
THROCKMORTON,1440,1457,806,82,6,894,9.829268293,trump,17
TITUS,31247,31376,7570,2856,115,10541,2.650560224,trump,129
TOM GREEN,120003,121106,32313,12239,658,45210,2.64016668,trump,1103
TRAVIS,1290188,1292728,161337,435860,389,597586,0.370157849,biden,2540
TRINITY,13602,13737,5579,1323,36,6938,4.216931217,trump,135
TYLER,19798,18065,8194,1403,63,9660,5.840342124,trump,-1733
UPSHUR,40892,41226,15809,2877,206,18892,5.494960028,trump,334
UPTON,3308,3332,1178,170,20,1368,6.929411765,trump,24
UVALDE,24564,24676,6174,4073,97,10344,1.515835993,trump,112
VAL VERDE,47586,47761,8284,6771,225,15280,1.223452961,trump,175
VAN ZANDT,59541,59863,22270,3516,243,26029,6.333902162,trump,322
VICTORIA,91319,92168,23358,10380,450,34188,2.250289017,trump,849
WALKER,76400,63857,15375,7884,353,23612,1.950152207,trump,-12543
WALLER,56794,56965,14260,8191,283,22734,1.740935173,trump,171
WARD,11644,11733,3241,764,55,4060,4.242146597,trump,89
WASHINGTON,35805,36021,12959,4261,207,17427,3.041304858,trump,216
WEBB,267114,267664,25898,41820,679,68397,0.619273075,biden,550
WHARTON,41570,41763,11926,4694,141,16761,2.540690243,trump,193
WHEELER,4990,5036,2159,168,10,2337,12.85119048,trump,46
WICHITA,129350,126712,32069,13161,810,46040,2.436668946,trump,-2638
WILBARGER,12887,13039,3524,956,44,4524,3.686192469,trump,152
WILLACY,20164,19163,2441,3108,0,5549,0.785392535,biden,-1001
WILLIAMSON,609017,610127,139729,143795,1037,284561,0.971723634,biden,1110
WILSON,49753,49882,18463,6350,200,25013,2.907559055,trump,129
WINKLER,7791,7832,1753,358,15,2126,4.896648045,trump,41
WISE,68632,68450,27032,4973,360,32365,5.435753067,trump,-182
WOOD,44843,44560,19049,3509,221,22779,5.42861214,trump,-283
YOAKUM,7694,7721,2174,420,37,2631,5.176190476,trump,27
YOUNG,17867,18032,7110,1034,95,8239,6.876208897,trump,165
ZAPATA,13889,13916,2033,1826,15,3874,1.113362541,trump,27
ZAVALA,9670,9709,1490,2864,25,4379,0.520251397,biden,39
